id_OSM,LATITUD,LONGITUD,coord
node/3949498567,40.4176475,-3.7004478,"(40.417647500000001, -3.7004478000000001)"
node/3949498568,40.4176982,-3.700284,"(40.417698199999997, -3.7002839999999999)"
node/3949498569,40.417746,-3.7001202,"(40.417746000000001, -3.7001202000000002)"
node/3949498570,40.4178806,-3.6997084,"(40.417880599999997, -3.6997084)"
node/3949498574,40.4180275,-3.6992323,"(40.418027500000001, -3.6992322999999998)"
node/3949498577,40.4181877,-3.6987693,"(40.418187699999997, -3.6987692999999999)"
node/3949498583,40.4183014,-3.6984485,"(40.418301399999997, -3.6984485)"
node/3949498584,40.4184168,-3.6981033,"(40.418416800000003, -3.6981033000000001)"
node/3949510645,40.4187393,-3.692899,"(40.418739299999999, -3.6928990000000002)"
node/3949510651,40.4188087,-3.6926063,"(40.4188087, -3.6926063)"
node/3949510654,40.4188917,-3.6927782,"(40.418891700000003, -3.6927781999999998)"
node/3949512360,40.4189364,-3.6926017,"(40.4189364, -3.6926017)"
node/3949512362,40.4189684,-3.693064,"(40.418968399999997, -3.6930640000000001)"
node/3949512364,40.4189816,-3.6924887,"(40.418981600000002, -3.6924887000000002)"
node/3949512367,40.4189934,-3.6932755,"(40.418993399999998, -3.6932754999999999)"
node/3949512376,40.4190239,-3.6935253,"(40.419023899999999, -3.6935253000000001)"
node/3949512377,40.4190274,-3.6923939,"(40.419027399999997, -3.6923938999999999)"
node/3949512381,40.4190669,-3.6924477,"(40.419066899999997, -3.6924477000000002)"
node/3949512382,40.4190732,-3.6925634,"(40.4190732, -3.6925634000000001)"
node/3949512390,40.4191974,-3.6922699,"(40.419197400000002, -3.6922698999999999)"
node/3949512403,40.4192224,-3.6936885,"(40.419222400000002, -3.6936884999999999)"
node/3949512404,40.4192342,-3.6921851,"(40.419234199999998, -3.6921851000000001)"
node/3949512408,40.4192911,-3.6922307,"(40.419291100000002, -3.6922307000000001)"
node/3949512410,40.4193078,-3.6923647,"(40.419307799999999, -3.6923647000000002)"
node/3949512415,40.4193446,-3.6922553,"(40.419344600000002, -3.6922552999999998)"
node/3949512419,40.4193605,-3.6921386,"(40.419360500000003, -3.6921385999999998)"
node/3949512456,40.4195214,-3.6934941,"(40.419521400000001, -3.6934941000000001)"
node/3949512473,40.4196613,-3.693321,"(40.419661300000001, -3.6933210000000001)"
node/3949512497,40.419736,-3.6931336,"(40.419736, -3.6931335999999999)"
node/3949512507,40.4197843,-3.6931309,"(40.419784300000003, -3.6931308999999999)"
node/3960256016,40.4823495,-3.7029088,"(40.482349499999998, -3.7029087999999999)"
node/4053783767,40.4390742,-3.7338613,"(40.4390742, -3.7338613)"
node/4053783768,40.4392243,-3.7341575,"(40.439224299999999, -3.7341574999999998)"
node/4053783769,40.4393587,-3.7344385,"(40.4393587, -3.7344385)"
node/4053783770,40.4395237,-3.7347017,"(40.439523700000002, -3.7347017)"
node/4053783771,40.4397315,-3.7349613,"(40.439731500000001, -3.7349613000000002)"
node/4053783772,40.4399495,-3.7351746,"(40.439949499999997, -3.7351746000000001)"
node/4053783773,40.4401763,-3.7353405,"(40.440176299999997, -3.7353405)"
node/4053783774,40.4401955,-3.7366605,"(40.440195500000002, -3.7366605000000002)"
node/4053783775,40.4404228,-3.7354824,"(40.4404228, -3.7354824)"
node/4053783776,40.4404607,-3.7359724,"(40.440460700000003, -3.7359724000000001)"
node/4053783777,40.4406862,-3.735576,"(40.440686200000002, -3.735576)"
node/4053783778,40.4409531,-3.7356323,"(40.440953100000002, -3.7356322999999998)"
node/4053783779,40.4412254,-3.7356403,"(40.4412254, -3.7356403)"
node/4053783780,40.4414834,-3.7356198,"(40.441483400000003, -3.7356197999999998)"
node/4053783781,40.4416973,-3.7356001,"(40.441697300000001, -3.7356001000000001)"
node/4053783782,40.4433297,-3.7386373,"(40.4433297, -3.7386373000000002)"
node/4110020862,40.4304665,-3.715978,"(40.430466500000001, -3.7159779999999998)"
node/4110020863,40.4304736,-3.7164005,"(40.430473599999999, -3.7164005000000002)"
node/4116648106,40.5252376,-3.6850446,"(40.525237599999997, -3.6850445999999999)"
node/4116648170,40.5254149,-3.6850565,"(40.525414900000001, -3.6850565)"
node/4116648367,40.5256557,-3.685016,"(40.525655700000002, -3.6850160000000001)"
node/4119735415,40.4483912,-3.7283221,"(40.448391200000003, -3.7283221000000002)"
node/4119735455,40.4486616,-3.727961,"(40.448661600000001, -3.7279610000000001)"
node/4119735461,40.4487821,-3.7282808,"(40.448782100000003, -3.7282807999999998)"
node/4119735463,40.4488096,-3.7278323,"(40.448809599999997, -3.7278323000000002)"
node/4119735467,40.4489418,-3.7276398,"(40.4489418, -3.7276397999999999)"
node/4119735469,40.4490636,-3.7283492,"(40.449063600000002, -3.7283491999999998)"
node/4119735471,40.4490849,-3.7281457,"(40.449084900000003, -3.7281456999999998)"
node/4119735473,40.4491091,-3.7279134,"(40.449109100000001, -3.7279133999999998)"
node/4119735475,40.4491341,-3.7276096,"(40.449134100000002, -3.7276096000000001)"
node/4119740684,40.4503701,-3.7290256,"(40.450370100000001, -3.7290255999999999)"
node/4119740686,40.4504068,-3.7286487,"(40.450406800000003, -3.7286486999999999)"
node/4119740689,40.4504476,-3.7282638,"(40.450447599999997, -3.7282638000000001)"
node/4119740691,40.4504864,-3.7278857,"(40.450486400000003, -3.7278856999999999)"
