id,id_OSM,distance,lat_OSM,lon_OSM,coord_OSM,DISTRITO,BARRIO,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,coord
26923,1890102293,8.179589503870854,40.4161496,-3.6727781,"(40.416149599999997, -3.6727780999999999)",RETIRO,NIÑO JESÚS,MU-16,"442913,5763","4474164,501",-3.672874689102173,40.4161491394043,"(40.416149, -3.6728747)"
11852,1890102328,5.819437365723833,40.4158718,-3.6734272,"(40.415871799999998, -3.6734271999999999)",RETIRO,NIÑO JESÚS,MU-16,"442870,3114","4474129,71",-3.673381805419922,40.41583251953125,"(40.415833, -3.6733818)"
54560,1890102351,5.385087629514483,40.4159718,-3.673427,"(40.415971800000001, -3.6734270000000002)",RETIRO,NIÑO JESÚS,MU-16,"442867,5765","4474150,501",-3.6734156608581543,40.416019439697266,"(40.416019, -3.6734157)"
34790,2028066688,8.084042396133755,40.4591522,-3.7030149,"(40.459152199999998, -3.7030148999999999)",TETUÁN,BERRUGUETE,MU-17,"440388,5993","4478963,45",-3.703084707260132,40.45920181274414,"(40.459202, -3.7030847)"
63666,2028066688,5.130786331156134,40.4591522,-3.7030149,"(40.459152199999998, -3.7030148999999999)",TETUÁN,BERRUGUETE,MU-17,"440390,5993","4478954,45",-3.7030603885650635,40.45912170410156,"(40.459122, -3.7030604)"
48657,2028066688,9.989439115172809,40.4591522,-3.7030149,"(40.459152199999998, -3.7030148999999999)",TETUÁN,BERRUGUETE,MU-17,"440385,5993","4478953,45",-3.7031192779541016,40.459110260009766,"(40.45911, -3.7031193)"
26079,2351691924,5.509638047092516,40.3998963,-3.7630303,"(40.399896300000002, -3.7630303000000001)",LATINA,ALUCHE,BA-13,"435244,6229","4472419,571",-3.7630836963653564,40.39986801147461,"(40.399868, -3.7630837)"
11621,2352895346,7.380376981837205,40.3881264,-3.7315356,"(40.388126399999997, -3.7315356)",CARABANCHEL,OPAÑEL,BA-107,"437912,5331","4471086,521",-3.7315173149108887,40.3880615234375,"(40.388062, -3.7315173)"
25282,2375150819,6.122656566667216,40.4076816,-3.735222,"(40.407681599999997, -3.7352219999999998)",LATINA,PUERTA DEL ANGEL,MU-16,"437610,6055","4473269,549",-3.735288381576538,40.4077033996582,"(40.407703, -3.7352884)"
7454,2375150819,6.717353121581155,40.4076816,-3.735222,"(40.407681599999997, -3.7352219999999998)",LATINA,PUERTA DEL ANGEL,MU-16,"437609,6055","4473265,549",-3.735299587249756,40.40766906738281,"(40.407669, -3.7352996)"
