DISTRITO,BARRIO,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
SALAMANCA,RECOLETOS,MU-15F,441525.587,4475177.519,-3.6893269999999996,40.425176799999996,2827800582,40.424801,-3.6893053,"(40.424801000000002, -3.6893053)",,41.839190476742864,"(40.425176799999996, -3.6893269999999996)"
SALAMANCA,RECOLETOS,MU-15F,441572.5867,4475179.518,-3.6887732000000004,40.4251981,2827800590,40.4248608,-3.689096,"(40.424860799999998, -3.6890960000000002)",,46.416952556821514,"(40.425198100000003, -3.6887732000000004)"
SALAMANCA,RECOLETOS,BA-107,442170.5066,4475175.388,-3.6817247,40.4252026,4579350795,40.4249717,-3.6813549,"(40.4249717, -3.6813549000000001)",,40.49670790097845,"(40.425202599999999, -3.6817247000000002)"
SALAMANCA,RECOLETOS,MU-15F,441551.5868,4475180.519,-3.6890207999999998,40.425205600000005,2827800590,40.4248608,-3.689096,"(40.424860799999998, -3.6890960000000002)",,38.87579402592603,"(40.425205600000005, -3.6890207999999998)"
SALAMANCA,RECOLETOS,MU-15F,441500.5872,4475181.519,-3.6896221,40.425211,2827800587,40.424847,-3.6895622,"(40.424847, -3.6895622000000001)",,40.80280037139805,"(40.425210999999997, -3.6896220999999998)"
SALAMANCA,RECOLETOS,MU-15F,441534.5869,4475182.519,-3.6892214,40.425222399999996,2827800582,40.424801,-3.6893053,"(40.424801000000002, -3.6893053)",,47.406040552105885,"(40.425222399999996, -3.6892214000000001)"
CENTRO,UNIVERSIDAD,BA-1,440268.5853,4475204.441,-3.7041467000000003,40.425329999999995,3105315576,40.425295,-3.7040144,"(40.425294999999998, -3.7040144000000002)",,11.85915730293376,"(40.425329999999995, -3.7041467000000003)"
CENTRO,UNIVERSIDAD,BA-1,440280.5852,4475211.441,-3.7040059000000003,40.4253939,3105315576,40.425295,-3.7040144,"(40.425294999999998, -3.7040144000000002)",,11.023795237557403,"(40.425393900000003, -3.7040059000000003)"
CENTRO,UNIVERSIDAD,BA-1,440278.5853,4475214.441,-3.7040297999999994,40.4254208,3105315576,40.425295,-3.7040144,"(40.425294999999998, -3.7040144000000002)",,14.052888298943687,"(40.425420799999998, -3.7040297999999994)"
CHAMBERÍ,TRAFALGAR,BA-103,440660.5843,4475773.438,-3.6995791,40.4304838,1591330093,40.4304843,-3.6997505,"(40.430484300000003, -3.6997504999999999)",,14.511634095863098,"(40.430483799999998, -3.6995790999999998)"
CHAMBERÍ,TRAFALGAR,BA-103,440662.5843,4475774.438,-3.6995557,40.430493,1591330093,40.4304843,-3.6997505,"(40.430484300000003, -3.6997504999999999)",,16.52104352618249,"(40.430492999999998, -3.6995556999999999)"
CHAMBERÍ,TRAFALGAR,BA-103,440651.5843,4475776.438,-3.6996855,40.4305102,1591330093,40.4304843,-3.6997505,"(40.430484300000003, -3.6997504999999999)",,6.211604348724038,"(40.430510200000001, -3.6996855000000002)"
CHAMBERÍ,TRAFALGAR,BA-103,440655.5843,4475786.438,-3.6996393,40.4306006,1591330093,40.4304843,-3.6997505,"(40.430484300000003, -3.6997504999999999)",,15.998961503454531,"(40.430600599999998, -3.6996392999999999)"
CHAMBERÍ,TRAFALGAR,BA-103,440658.5843,4475789.438,-3.6996042,40.430627799999996,1591330093,40.4304843,-3.6997505,"(40.430484300000003, -3.6997504999999999)",,20.20336979029407,"(40.430627799999996, -3.6996042)"
CHAMBERÍ,TRAFALGAR,BA-103,440660.5843,4475790.438,-3.6995807000000003,40.430637,1591330093,40.4304843,-3.6997505,"(40.430484300000003, -3.6997504999999999)",,22.251639638145676,"(40.430636999999997, -3.6995807000000003)"
CHAMBERÍ,TRAFALGAR,BA-103,440659.5843,4475791.438,-3.6995926,40.430645899999995,1591330093,40.4304843,-3.6997505,"(40.430484300000003, -3.6997504999999999)",,22.4006326284362,"(40.430645899999995, -3.6995925999999999)"
CHAMBERÍ,TRAFALGAR,BA-103,440676.5842,4475795.438,-3.6993926,40.430683200000004,1591330093,40.4304843,-3.6997505,"(40.430484300000003, -3.6997504999999999)",,37.518002171957924,"(40.430683200000004, -3.6993925999999999)"
CHAMBERÍ,TRAFALGAR,BA-103,440674.5842,4475796.438,-3.6994162000000004,40.430692,1591330093,40.4304843,-3.6997505,"(40.430484300000003, -3.6997504999999999)",,36.53448366455747,"(40.430692000000001, -3.6994162000000004)"
CHAMBERÍ,TRAFALGAR,MU-17,440628.5846,4475821.438,-3.6999608999999998,40.430914,1591330113,40.4305556,-3.6996652,"(40.430555599999998, -3.6996652000000001)",,47.07294143684163,"(40.430914000000001, -3.6999608999999998)"
CHAMBERÍ,TRAFALGAR,MU-17,440634.6546,4475822.138,-3.6998894,40.43092070000001,1591330093,40.4304843,-3.6997505,"(40.430484300000003, -3.6997504999999999)",,49.94339637459385,"(40.430920700000009, -3.6998894)"
CHAMBERÍ,TRAFALGAR,MU-17,440642.6546,4475831.138,-3.6997959000000002,40.431002299999996,1591330115,40.4305581,-3.6997622,"(40.430558099999999, -3.6997621999999999)",,49.48901838575119,"(40.431002299999996, -3.6997959000000002)"
CHAMBERÍ,TRAFALGAR,MU-17,440532.6757,4475987.77,-3.701107,40.4324055,1596698109,40.4325672,-3.70142,"(40.432567200000001, -3.7014200000000002)",,32.02625775732988,"(40.432405500000002, -3.7011069999999999)"
CHAMBERÍ,TRAFALGAR,MU-17,440538.3257,4475987.96,-3.7010404,40.4324076,1596698109,40.4325672,-3.70142,"(40.432567200000001, -3.7014200000000002)",,36.714557330185315,"(40.432407599999998, -3.7010404000000001)"
CHAMBERÍ,TRAFALGAR,MU-17,440526.5558,4475988.54,-3.7011792000000003,40.432412,1596698109,40.4325672,-3.70142,"(40.432567200000001, -3.7014200000000002)",,26.71334807460657,"(40.432411999999999, -3.7011792000000003)"
CHAMBERÍ,TRAFALGAR,MU-17,440555.5456,4475992.359,-3.7008377999999995,40.4324485,1596698111,40.4326506,-3.7012341,"(40.432650600000002, -3.7012341000000002)",,40.3857215475456,"(40.4324485, -3.7008377999999995)"
CHAMBERÍ,TRAFALGAR,MU-17,440526.2658,4475995.04,-3.7011832,40.4324705,1596698109,40.4325672,-3.70142,"(40.432567200000001, -3.7014200000000002)",,22.75092174895987,"(40.432470500000001, -3.7011832)"
