CODIGO,ZV-VP,DISTRITO,DIRECCION,COMP-DIR,X_ETRS89,Y_ETRS89,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
FUE_03-10_0000000071,ZV,LATINA,JARDINES DE LA COL. CASILDA BUSTOS A,CALLE GENERAL ROMERO BASART CV AVDA GENERAL FANJUL,434126.92,4470400.31,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7760449,40.3815891,4332121748,40.3813012,-3.7756315,"(40.381301200000003, -3.7756314999999998)",,47.45760279944101,"('40.3815891', '-3.7760449')"
FUE_06-12_0000000052,ZV,USERA,PARQUE OLOF PALME,,439600.9711,4470502.347,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7115702,40.3829231,3733446724,40.3829853,-3.7118003,"(40.382985300000001, -3.7118003000000002)",,20.686268154739764,"('40.3829231', '-3.7115702')"
FUE_05-13_0000000138,VP,PUENTE VALLECAS,CONCEJO DE TEVERGA ENTRE Nº 10 Y 14,,442855.3243,4470754.424,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6732554,40.3854235,4339941543,40.3854136,-3.673315,"(40.3854136, -3.6733150000000001)",,5.168065587294111,"('40.3854235', '-3.6732554')"
FB_900063,ZV,USERA,MADRID RÍO,Z.27. - VADO - PARQUE LINEAL DEL MANZANARES,440907.9,4470838.6,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6962053,40.3860459,1284089807,40.3861099,-3.6963637,"(40.386109900000001, -3.6963637)",,15.190856791321934,"('40.3860459', '-3.6962053')"
FUE_05-13_0000000075,ZV,PUENTE VALLECAS,PARQUE LINEAL DE PALOMERAS EN EL CRUCE CON CALLE DE LOS ANDALUCES,,446193.7102,4471061.254,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6339521,40.3884099,1352780328,40.3887206,-3.634174,"(40.388720599999999, -3.6341739999999998)",,39.34018387031918,"('40.3884099', '-3.6339521')"
FUE_02-02_0000000037,ZV,ARGANZUELA,PARQUE ENRIQUE TIERNO GALVAN,EN LACOTA. C/TITÁN Nº 2,442126.2715,4471306.252,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6818943,40.3903443,3634101883,40.3903633,-3.6818381,"(40.390363299999997, -3.6818380999999998)",,5.2089435220297995,"('40.3903443', '-3.6818943')"
FUE_02-02_0000000039,ZV,ARGANZUELA,PARQUE ENRIQUE TIERNO GALVAN,,441803.0759,4471517.317,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6857213,40.3922232,4252391337,40.3923846,-3.6857146,"(40.3923846, -3.6857145999999998)",,17.960887714772873,"('40.3922232', '-3.6857213')"
FB_900056,ZV,ARGANZUELA,MADRID RÍO,Z.23. - ARGANZUELA - Pº DE LA CHOPERA,440535.5,4471544.0,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7006584,40.3923741,3697360446,40.392434,-3.7006744,"(40.392434000000002, -3.7006744)",,6.798925639676879,"('40.3923741', '-3.7006584')"
FB_900057,ZV,ARGANZUELA,MADRID RÍO,Z.23. - ARGANZUELA - Pº DE LA CHOPERA,440534.9,4471544.7,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7006655,40.3923803,3697360446,40.392434,-3.7006744,"(40.392434000000002, -3.7006744)",,6.020246247635914,"('40.3923803', '-3.7006655')"
FUE_02-02_0000000040,ZV,ARGANZUELA,PARQUE ENRIQUE TIERNO GALVAN,,442001.4877,4471569.775,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6833884,40.3927097,3634101894,40.3926772,-3.6834434,"(40.392677200000001, -3.6834433999999998)",,5.897038456742999,"('40.3927097', '-3.6833884')"
