DISTRITO,BARRIO,DIRECCION,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
CENTRO,EMBAJADORES,"CALLE DE EMBAJADORES,70",40_LTS,440338.479,4473041.478,-3.703119993209839,40.40584945678711,node/3285505465,40.4054596,-3.7030097,"(40.4054596, -3.7030097)",,44.35709059917668,"(40.4054596, -3.7030097)"
CENTRO,EMBAJADORES,"CALLE DEL MESON DE PAREDES,37",80_LTS,440278.9583,4473452.676,-3.70386004447937,40.409549713134766,node/3285505468,40.4098655,-3.7035863,"(40.409865500000002, -3.7035863)",,42.085178755301655,"(40.409865500000002, -3.7035863)"
CENTRO,EMBAJADORES,"CALLE DE AMPARO,26",80_LTS,440304.5101,4473464.683,-3.7035601139068604,40.40966033935547,node/3283864534,40.4099289,-3.7033851,"(40.409928899999997, -3.7033851000000002)",,33.346209074446,"(40.409928899999997, -3.7033851000000002)"
CENTRO,EMBAJADORES,"CALLE DE AMPARO,37",40_LTS,440331.6969,4473468.907,-3.703239917755127,40.409698486328125,node/3283864534,40.4099289,-3.7033851,"(40.409928899999997, -3.7033851000000002)",,28.424960779306847,"(40.409928899999997, -3.7033851000000002)"
CENTRO,EMBAJADORES,"CALLE DEL MESON DE PAREDES,37",50_LTS_EX,440274.875,4473472.69,-3.7039098739624023,40.40972900390625,node/3283864534,40.4099289,-3.7033851,"(40.409928899999997, -3.7033851000000002)",,49.69465681471065,"(40.409928899999997, -3.7033851000000002)"
CENTRO,EMBAJADORES,"CALLE DEL MESON DE PAREDES,35",40_LTS,440263.0404,4473478.334,-3.704050064086914,40.4097785949707,node/3285505468,40.4098655,-3.7035863,"(40.409865500000002, -3.7035863)",,40.4484557825798,"(40.409865500000002, -3.7035863)"
CENTRO,EMBAJADORES,"CALLE DEL MESON DE PAREDES,37",80_LTS,440279.197,4473482.646,-3.70386004447937,40.409820556640625,node/3283864534,40.4099289,-3.7033851,"(40.409928899999997, -3.7033851000000002)",,41.98970355433202,"(40.409928899999997, -3.7033851000000002)"
CENTRO,EMBAJADORES,"CALLE DE AMPARO,26",80_LTS,440298.7121,4473482.49,-3.703629970550537,40.409820556640625,node/3283864534,40.4099289,-3.7033851,"(40.409928899999997, -3.7033851000000002)",,23.985250191761384,"(40.409928899999997, -3.7033851000000002)"
CENTRO,EMBAJADORES,"CALLE DE AMPARO,35",80_LTS,440312.332,4473487.932,-3.70346999168396,40.40987014770508,node/3283864534,40.4099289,-3.7033851,"(40.409928899999997, -3.7033851000000002)",,9.7156001693786,"(40.409928899999997, -3.7033851000000002)"
CENTRO,EMBAJADORES,"CALLE DE AMPARO,24",50_LTS_EX,440305.606,4473495.756,-3.703550100326538,40.40993881225586,node/3283864534,40.4099289,-3.7033851,"(40.409928899999997, -3.7033851000000002)",,14.017393714903553,"(40.409928899999997, -3.7033851000000002)"
CENTRO,EMBAJADORES,"CALLE DE AMPARO,29",40_LTS,440320.9758,4473507.845,-3.7033698558807373,40.41004943847656,node/3283864534,40.4099289,-3.7033851,"(40.409928899999997, -3.7033851000000002)",,13.46905991897579,"(40.409928899999997, -3.7033851000000002)"
CENTRO,EMBAJADORES,"CALLE DE AMPARO,18",40_LTS,440295.7512,4473536.907,-3.703670024871826,40.410308837890625,node/3283864534,40.4099289,-3.7033851,"(40.409928899999997, -3.7033851000000002)",,48.66316974901502,"(40.409928899999997, -3.7033851000000002)"
CENTRO,SOL,"CALLE DE ESPARTEROS,1",40_LTS,440185.6981,4474207.154,-3.7050299644470215,40.41633987426758,node/4317894294,40.4165367,-3.7045088,"(40.416536700000002, -3.7045088000000002)",,49.26488051879596,"(40.416536700000002, -3.7045088000000002)"
CENTRO,SOL,"CALLE MAYOR,2",80_LTS,440201.0933,4474222.572,-3.7048499584198,40.416481018066406,node/4317894294,40.4165367,-3.7045088,"(40.416536700000002, -3.7045088000000002)",,29.546457998434935,"(40.416536700000002, -3.7045088000000002)"
