id_OSM,LATITUD,LONGITUD,coord
node/3902981808,40.3567837,-3.7016843,"(40.356783700000001, -3.7016843000000001)"
node/3902981812,40.3567988,-3.7019937,"(40.3567988, -3.7019937000000001)"
node/3902981824,40.3568733,-3.7016526,"(40.356873299999997, -3.7016526000000001)"
node/3902981848,40.3569913,-3.701675,"(40.356991299999997, -3.7016749999999998)"
node/3902981854,40.357018,-3.701416,"(40.357017999999997, -3.701416)"
node/3902982058,40.3570381,-3.7018845,"(40.357038099999997, -3.7018844999999998)"
node/3902982065,40.3570617,-3.7015516,"(40.357061700000003, -3.7015516000000002)"
node/3902982071,40.3571007,-3.7013768,"(40.357100699999997, -3.7013767999999998)"
node/3902982075,40.3571131,-3.7012432,"(40.357113099999999, -3.7012432)"
node/3902982078,40.3571294,-3.7015155,"(40.357129399999998, -3.7015155000000002)"
node/3902982108,40.3573713,-3.7022055,"(40.357371299999997, -3.7022054999999998)"
node/3902982117,40.3574488,-3.7024927,"(40.3574488, -3.7024927000000001)"
node/3902982128,40.3575257,-3.7021279,"(40.357525699999997, -3.7021278999999998)"
node/3902982138,40.357601,-3.7024105,"(40.357601000000003, -3.7024105)"
node/3904779540,40.3525373,-3.7042361,"(40.352537300000002, -3.7042361000000001)"
node/3904780258,40.3526414,-3.7046244,"(40.352641400000003, -3.7046244000000002)"
node/3906334143,40.3527378,-3.7051645,"(40.3527378, -3.7051645)"
node/3906334146,40.3527809,-3.704561,"(40.352780899999999, -3.704561)"
node/3906334148,40.3528386,-3.704988,"(40.352838599999998, -3.7049880000000002)"
node/3906334149,40.3528744,-3.7051645,"(40.352874399999997, -3.7051645)"
node/3906334150,40.3530376,-3.7048998,"(40.3530376, -3.7048998000000002)"
node/3906334151,40.3530854,-3.7051029,"(40.353085399999998, -3.7051029)"
node/3906334152,40.3531172,-3.7047261,"(40.3531172, -3.7047260999999998)"
node/3906334155,40.353149,-3.7048533,"(40.353149000000002, -3.7048532999999999)"
node/3906338659,40.3532554,-3.7046666,"(40.353255400000002, -3.7046665999999999)"
