id,id_OSM,distance,lat_OSM,lon_OSM,coord_OSM,DISTRITO,BARRIO,DIRECCION,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,coord
33121,2800668859,34.74616810355767,40.4386894,-3.6542356,"(40.438689400000001, -3.6542355999999998)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LA VIRGEN DE AFRICA,11",50_LTS,"444492,5318","4476627,256",-3.65447998046875,40.438438415527344,"(40.438438, -3.65448)"
53133,2800668859,22.11708582560588,40.4386894,-3.6542356,"(40.438689400000001, -3.6542355999999998)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LA VIRGEN DE AFRICA,14",120_LTS,"444534,2376","4476646,928",-3.6539900302886963,40.438621520996094,"(40.438622, -3.65399)"
87854,2800683171,20.81119656722772,40.4383664,-3.6557066,"(40.4383664, -3.6557065999999998)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE ESTEBAN MORA,11",50_LTS,"444367,7755","4476617,081",-3.655949831008911,40.43833923339844,"(40.438339, -3.6559498)"
62368,2800720060,18.801560297815215,40.4383428,-3.653407,"(40.438342800000001, -3.6534070000000001)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LA VIRGEN DEL VAL,9",120_LTS,"444567,0186","4476606,723",-3.653599977493286,40.43825912475586,"(40.438259, -3.6536)"
89698,2803101536,5.217900816306428,40.4380724,-3.6537713,"(40.438072400000003, -3.6537712999999998)",CIUDAD LINEAL,CONCEPCIÓN,"CALLE DE LA VIRGEN DEL VAL,22",50_LTS,"444557,5332","4476585,702",-3.653709888458252,40.43806838989258,"(40.438068, -3.6537099)"
79898,2803215906,5.97793715394048,40.4381268,-3.6538094,"(40.438126799999999, -3.6538094000000001)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LA VIRGEN DEL VAL,9",50_LTS,"444552,5266","4476596,84",-3.6537699699401855,40.43817138671875,"(40.438171, -3.65377)"
55319,2821472419,33.67822212732024,40.4386367,-3.6525836,"(40.438636700000004, -3.6525835999999998)",CIUDAD LINEAL,CONCEPCIÓN,"CALLE DE LA VIRGEN DEL VAL,32",50_LTS,"444682,7978","4476664,701",-3.652240037918091,40.43878936767578,"(40.438789, -3.65224)"
50287,2821472421,8.153944455768942,40.4386981,-3.6526905,"(40.438698100000003, -3.6526904999999998)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LA VIRGEN DEL VAL,17",50_LTS,"444636,9011","4476651,719",-3.652780055999756,40.43867111206055,"(40.438671, -3.6527801)"
45523,2835692875,21.25665927607377,40.4377571,-3.6535265,"(40.437757099999999, -3.6535264999999999)",CIUDAD LINEAL,CONCEPCIÓN,"CALLE DE LA VIRGEN DE LOS REYES,1",50_LTS,"444591,1216","4476539,942",-3.6533100605010986,40.437660217285156,"(40.43766, -3.6533101)"
86469,2835692875,22.504263464526343,40.4377571,-3.6535265,"(40.437757099999999, -3.6535264999999999)",CIUDAD LINEAL,CONCEPCIÓN,"CALLE DE LA VIRGEN DEL ROCIO,1",50_LTS,"444557,1553","4476534,643",-3.653709888458252,40.4376106262207,"(40.437611, -3.6537099)"
14907,2835692875,45.27531059584782,40.4377571,-3.6535265,"(40.437757099999999, -3.6535264999999999)",CIUDAD LINEAL,CONCEPCIÓN,"CALLE DE LA VIRGEN DE AFRICA,7",50_LTS,"444586,6428","4476507,783",-3.653359889984131,40.43737030029297,"(40.43737, -3.6533599)"
38070,2835692875,28.597703811459784,40.4377571,-3.6535265,"(40.437757099999999, -3.6535264999999999)",CIUDAD LINEAL,CONCEPCIÓN,"CALLE DE LA VIRGEN DE AFRICA,7",50_LTS,"444572,3313","4476522,32",-3.6535298824310303,40.4375,"(40.4375, -3.6535299)"
43195,2835692882,35.12928114300092,40.4379647,-3.6531244,"(40.437964700000002, -3.6531243999999998)",CIUDAD LINEAL,CONCEPCIÓN,"CALLE DE LA VIRGEN DE LOS REYES,7",50_LTS,"444642,272","4476575,085",-3.6527099609375,40.43798065185547,"(40.437981, -3.65271)"
6888,2835692882,44.56633810939789,40.4379647,-3.6531244,"(40.437964700000002, -3.6531243999999998)",CIUDAD LINEAL,CONCEPCIÓN,"CALLE DE LA VIRGEN DE LOS REYES,7",50_LTS,"444648,3237","4476590,581",-3.6526401042938232,40.4381217956543,"(40.438122, -3.6526401)"
70994,2835692882,31.15128644934929,40.4379647,-3.6531244,"(40.437964700000002, -3.6531243999999998)",CIUDAD LINEAL,CONCEPCIÓN,"CALLE DE LA VIRGEN DE LOS REYES,7",50_LTS,"444633,8973","4476589,578",-3.6528100967407227,40.4381103515625,"(40.43811, -3.6528101)"
978,3136517517,42.258600050644375,40.3491933,-3.711472,"(40.349193300000003, -3.7114720000000001)",VILLAVERDE,SAN ANDRÉS,"CALLE DE POTES,1",50_LTS,"439543,0207","4466780,445",-3.711899995803833,40.349388122558594,"(40.349388, -3.7119)"
78957,3136517517,39.847931159538604,40.3491933,-3.711472,"(40.349193300000003, -3.7114720000000001)",VILLAVERDE,SAN ANDRÉS,"CALLE DEL VADO DE SANTIAGO,1",40_LTS,"439573,1025","4466719,15",-3.7115399837493896,40.348838806152344,"(40.348839, -3.71154)"
60898,3136517517,39.40020162336606,40.3491933,-3.711472,"(40.349193300000003, -3.7114720000000001)",VILLAVERDE,SAN ANDRÉS,"CALLE DEL ARROYO BUENO,53",80_LTS,"439611,4524","4466735,493",-3.711090087890625,40.34899139404297,"(40.348991, -3.7110901)"
26868,3136517517,26.556580806021557,40.3491933,-3.711472,"(40.349193300000003, -3.7114720000000001)",VILLAVERDE,SAN ANDRÉS,"CALLE DEL ARROYO BUENO,53",80_LTS,"439594,4764","4466736,739",-3.711289882659912,40.3489990234375,"(40.348999, -3.7112899)"
