id_OSM,LATITUD,LONGITUD,coord
node/3176569573,40.4277667,-3.7361333,"(40.427766699999999, -3.7361333000000001)"
node/3357697400,40.4285856,-3.7217433,"(40.428585599999998, -3.7217433)"
node/3361315286,40.4307789,-3.7337551,"(40.4307789, -3.7337551000000002)"
node/3392966960,40.4443661,-3.6448858,"(40.444366100000003, -3.6448858)"
node/3429111398,40.4342108,-3.6229134,"(40.434210800000002, -3.6229133999999998)"
node/3497615272,40.4246029,-3.718901,"(40.424602899999996, -3.7189009999999998)"
node/3497619832,40.4249412,-3.7169773,"(40.424941199999999, -3.7169772999999999)"
node/3499620848,40.4562662,-3.622308,"(40.456266200000002, -3.6223079999999999)"
node/3499620852,40.4575167,-3.6216395,"(40.457516699999999, -3.6216395000000001)"
node/3500566148,40.4233753,-3.7116974,"(40.423375299999996, -3.7116973999999998)"
node/3500619801,40.4251674,-3.7180734,"(40.425167399999999, -3.7180734000000002)"
node/3507232999,40.4976391,-3.6937871,"(40.497639100000001, -3.6937871000000002)"
node/3510203609,40.3533161,-3.693616,"(40.353316100000001, -3.693616)"
node/3510203950,40.355433,-3.6937086,"(40.355432999999998, -3.6937085999999999)"
node/3514716616,40.3947481,-3.6877738,"(40.394748100000001, -3.6877738)"
node/3515563469,40.4258149,-3.62547,"(40.425814899999999, -3.62547)"
node/3572732393,40.4503416,-3.6766112,"(40.450341600000002, -3.6766112)"
node/3577606786,40.4867946,-3.6256069,"(40.486794600000003, -3.6256069000000002)"
node/3579137300,40.4453905,-3.6288655,"(40.445390500000002, -3.6288654999999999)"
node/3657173242,40.4332502,-3.728088,"(40.433250200000003, -3.7280880000000001)"
node/3697360448,40.3955178,-3.7071131,"(40.3955178, -3.7071130999999999)"
node/3697360449,40.3969568,-3.7112583,"(40.396956799999998, -3.7112582999999999)"
node/3697360452,40.4101664,-3.7225123,"(40.410166400000001, -3.7225123)"
node/3778654886,40.4169919,-3.6612846,"(40.416991899999999, -3.6612846000000001)"
node/3827482091,40.5439954,-3.6958078,"(40.5439954, -3.6958077999999999)"
node/3912611669,40.3542998,-3.7042985,"(40.3542998, -3.7042985000000002)"
node/3933243487,40.4027257,-3.641345,"(40.402725699999998, -3.6413449999999998)"
node/3936936441,40.4079236,-3.7634492,"(40.407923599999997, -3.7634492000000002)"
node/3951792357,40.4670204,-3.6942972,"(40.467020400000003, -3.6942971999999998)"
node/3955088389,40.4026887,-3.6411958,"(40.402688699999999, -3.6411958000000002)"
node/3973689277,40.445319,-3.6309041,"(40.445318999999998, -3.6309041)"
node/3981909015,40.4352205,-3.6411148,"(40.4352205, -3.6411148)"
node/4053541331,40.4341062,-3.6700631,"(40.434106200000002, -3.6700631000000001)"
node/4062129992,40.4463267,-3.6296203,"(40.4463267, -3.6296203)"
node/4062129993,40.4463425,-3.6294386,"(40.4463425, -3.6294385999999998)"
node/4063891415,40.4303682,-3.6394139,"(40.430368199999997, -3.6394139000000001)"
node/4065603214,40.4511638,-3.6579993,"(40.451163800000003, -3.6579993000000002)"
node/4219016930,40.4951075,-3.6885424,"(40.495107500000003, -3.6885424000000002)"
node/4227924890,40.4144412,-3.6790489,"(40.414441199999999, -3.6790489000000002)"
node/4265348136,40.4126704,-3.7532548,"(40.412670400000003, -3.7532548000000001)"
node/4330503376,40.3548719,-3.700859,"(40.354871899999999, -3.7008589999999999)"
node/4330510614,40.4558633,-3.6249419,"(40.455863299999997, -3.6249419000000001)"
node/4330510653,40.4760747,-3.6428702,"(40.476074699999998, -3.6428701999999999)"
node/4330516730,40.4593696,-3.7123796,"(40.459369600000002, -3.7123795999999998)"
node/4330516733,40.4611203,-3.713189,"(40.461120299999997, -3.7131889999999999)"
node/4330516734,40.4622699,-3.7003339,"(40.462269900000003, -3.7003339)"
node/4331338099,40.4252315,-3.7186942,"(40.425231500000002, -3.7186941999999998)"
node/4331338107,40.4278158,-3.7243487,"(40.427815799999998, -3.7243487000000002)"
node/4331338109,40.4284127,-3.7215643,"(40.428412700000003, -3.7215642999999998)"
node/4332033572,40.4545942,-3.7228343,"(40.454594200000003, -3.7228343000000002)"
node/4332033574,40.4575496,-3.7170906,"(40.4575496, -3.7170906000000001)"
node/4332033575,40.4577502,-3.7232446,"(40.4577502, -3.7232446000000001)"
node/4332033576,40.4587395,-3.7178724,"(40.4587395, -3.7178724000000001)"
node/4332033577,40.460531,-3.7214807,"(40.460531000000003, -3.7214806999999999)"
node/4332033578,40.4606913,-3.7220983,"(40.460691300000001, -3.7220982999999999)"
node/4332033579,40.4609703,-3.718596,"(40.4609703, -3.7185959999999998)"
node/4332033581,40.4623567,-3.7182358,"(40.462356700000001, -3.7182358)"
node/4332102974,40.4125615,-3.7151563,"(40.412561500000002, -3.7151562999999999)"
node/4332121994,40.408452,-3.7606562,"(40.408451999999997, -3.7606562000000001)"
node/4332132433,40.4203569,-3.6324855,"(40.420356900000002, -3.6324855)"
node/4332132438,40.4270565,-3.6405785,"(40.427056499999999, -3.6405785000000002)"
