id,CODIGO,ZONA VERDE / VIA PUBLICA,DISTRITO,DIRECCION,COMPLEMENTO DE DIRECCIÓN ,COORD. X,COORD. Y,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA DATOS,LONGITUD,LATITUD,coord
1557,FUE_04-21_0000000050,VP,BARAJAS,"C/BOIRO,55",MARQUES DE BERNA 20,"450285,6727","4479661,355",ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,DEFICIENCIA ESTRUCTURAL,3-nov.-17,-3.5864152908325195,40.46614074707031,"(40.466141, -3.5864153)"
1229,FUE_04-16_0000000150,ZV,HORTALEZA,"AÑASTRO, 21",INTERBLOQUE C/ RAMONET 16,443845,"4479990,11",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.66241192817688,40.46868896484375,"(40.468689, -3.6624119)"
442,FUE_03-08_0000000150,ZV,FUENCARRAL-EL PARDO,C/JOAQUÍN LORENZO FRENTE AL Nº 32,EN EL PARQUE DE ENFRENTE,"438289,81","4480391,65",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.727975845336914,40.4719123840332,"(40.471912, -3.7279758)"
369,FUE_03-08_0000000062,ZV,FUENCARRAL-EL PARDO,PARQUE DE LA ALCAZABA,CALLE RIBADAVIA 27,"440030,5999","4480481,601",ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,DEFICIENCIA ESTRUCTURAL,3-nov.-17,-3.7074503898620605,40.47285079956055,"(40.472851, -3.7074504)"
444,FUE_03-08_0000000152,ZV,FUENCARRAL-EL PARDO,PARQUE DE LA ALCAZABA,CALLE RIBADAVIA 45,"440099,6436","4480526,667",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7066402435302734,40.473262786865234,"(40.473263, -3.7066402)"
446,FUE_03-08_0000000154,VP,FUENCARRAL-EL PARDO,CALLE MONFORTE DE LEMOS 34,,439950.08,4481131.74,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7084617614746094,40.478702545166016,"(40.478703, -3.7084618)"
423,FUE_03-08_0000000129,ZV,FUENCARRAL-EL PARDO,PARQUE DEL NORTE,CALLE ARZOBISPO MORCILLO Nº 14,"440975,5979","4481315,258",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.696380615234375,40.480430603027344,"(40.480431, -3.6963806)"
1088,FUE_04-15_0000000120,ZV,CIUDAD LINEAL,"CALLE JAZMIN, 49. JUNTO ÁREA INFANTIL","444001,44","443892,05",4481542.01,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.661994218826294,40.48267364501953,"(40.482674, -3.6619942)"
1253,FB_000100,ZV,HORTALEZA,PARQUE FORESTAL DE VALDEBEBAS-PARQUE FELIPE VI,,"446894,495","4481770,608",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6265907287597656,40.48493194580078,"(40.484932, -3.6265907)"
1558,FUE_04-21_0000000051,VP,BARAJAS,VALDEBEBAS - CONECTOR FERNANDO HIGUERAS ,C/ JULIO CANO LASSO Nº 4 CV C/ FERNANDO HIGUERAS.,"448696,23","4481911,5",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.605344772338867,40.48631286621094,"(40.486313, -3.6053448)"
1251,FB_000098,ZV,HORTALEZA,PARQUE FORESTAL DE VALDEBEBAS-PARQUE FELIPE VI,,"445857,822","4482296,127",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.638866662979126,40.48959732055664,"(40.489597, -3.6388667)"
441,FUE_03-08_0000000149,ZV,FUENCARRAL-EL PARDO,CALLE MARÍA DE MAEZTU 110,"C/V CALLE SENDA DEL INFANTE
ARROYOFRESNO","438584,7835","4482766,8",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.724726676940918,40.49333190917969,"(40.493332, -3.7247267)"
1231,FUE_04-16_0000000152,VP,HORTALEZA,VALDEBEBAS - CONECTOR FERNANDO HIGUERAS ,C/ JULIO CANO LASSO Nº 8 CV C/ JOSE ANTONIO FERNÁNDEZ ORDOÑEZ.,"448695,16","4482723,21",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6054232120513916,40.49362564086914,"(40.493626, -3.6054232)"
440,FUE_03-08_0000000148,ZV,FUENCARRAL-EL PARDO,CALLE MARÍA DE MAEZTU 118,ARROYOFRESNO,"438722,3671","4482907,294",ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,DEFICIENCIA ESTRUCTURAL,3-nov.-17,-3.723116636276245,40.494606018066406,"(40.494606, -3.7231166)"
1252,FB_000099,ZV,HORTALEZA,PARQUE FORESTAL DE VALDEBEBAS-PARQUE FELIPE VI,,"447059,973","4483023,096",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6247429847717285,40.49622344970703,"(40.496223, -3.624743)"
439,FUE_03-08_0000000147,ZV,FUENCARRAL-EL PARDO,CALLE MARÍA DE MAEZTU 148,ARROYOFRESNO,"438842,2236","4483134,836",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.721724510192871,40.496665954589844,"(40.496666, -3.7217245)"
438,FUE_03-08_0000000146,VP,FUENCARRAL-EL PARDO,CALLE SIERRA DE ATAPUERCA,CV PASEO SAN MILLÁN DE LA COGOLLA,"443553,3326","4484153,621",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6662230491638184,40.50617599487305,"(40.506176, -3.666223)"
443,FUE_03-08_0000000151,ZV,FUENCARRAL-EL PARDO,CALLE SANTO DOMINGO DE LA CALZADA,C/V CARRETERA DE FUENCARRAL A HORTALEZA,"442326,7282","4484307,871",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.680713415145874,40.507484436035156,"(40.507484, -3.6807134)"
