DISTRITO,BARRIO,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
TETUÁN,VALDEACEDERAS,MU-16,440066.6084,4480320.459,-3.707010507583618,40.47140121459961,node/5006925652,40.4712725,-3.7074499,"(40.471272499999998, -3.7074498999999999)",,39.8396156425576,"(40.471272499999998, -3.7074498999999999)"
TETUÁN,VALDEACEDERAS,MU-16,440030.5586,4480321.039,-3.7074356079101562,40.471405029296875,node/5006925652,40.4712725,-3.7074499,"(40.471272499999998, -3.7074498999999999)",,14.790258471477829,"(40.471272499999998, -3.7074498999999999)"
TETUÁN,VALDEACEDERAS,MU-16,440148.6379,4480319.878,-3.706042766571045,40.471405029296875,node/5006925669,40.4714082,-3.7061289,"(40.471408199999999, -3.7061288999999999)",,7.2965481615954015,"(40.471408199999999, -3.7061288999999999)"
TETUÁN,ALMENARA,MU-17,440783.6038,4480317.451,-3.6985526084899902,40.47142791748047,node/3590492180,40.4711986,-3.6982929,"(40.471198600000001, -3.6982929000000002)",,33.66680094455124,"(40.471198600000001, -3.6982929000000002)"
TETUÁN,VALDEACEDERAS,MU-16,440255.6072,4480326.457,-3.7047815322875977,40.47146987915039,node/5006925675,40.4714663,-3.7053591,"(40.471466300000003, -3.7053590999999999)",,48.87139823842939,"(40.471466300000003, -3.7053590999999999)"
TETUÁN,VALDEACEDERAS,MU-16,440189.6077,4480329.457,-3.7055604457855225,40.471492767333984,node/5006925669,40.4714082,-3.7061289,"(40.471408199999999, -3.7061288999999999)",,49.00976195247666,"(40.471408199999999, -3.7061288999999999)"
TETUÁN,ALMENARA,BA-58,441561.5988,4480318.442,-3.689375638961792,40.471492767333984,node/3645183690,40.4715232,-3.6896064,"(40.4715232, -3.6896064000000002)",,19.816619437247255,"(40.4715232, -3.6896064000000002)"
TETUÁN,VALDEACEDERAS,,440167.4569,4480332.831,-3.705821990966797,40.47152328491211,node/5006925669,40.4714082,-3.7061289,"(40.471408199999999, -3.7061288999999999)",,28.95195513200775,"(40.471408199999999, -3.7061288999999999)"
TETUÁN,VALDEACEDERAS,,440167.4569,4480332.831,-3.705821990966797,40.47152328491211,node/5006925669,40.4714082,-3.7061289,"(40.471408199999999, -3.7061288999999999)",,28.95195513200775,"(40.471408199999999, -3.7061288999999999)"
TETUÁN,ALMENARA,BA-58,441538.599,4480322.442,-3.6896471977233887,40.471527099609375,node/3645183690,40.4715232,-3.6896064,"(40.4715232, -3.6896064000000002)",,3.4791601560622465,"(40.4715232, -3.6896064000000002)"
TETUÁN,ALMENARA,BA-58,441562.5989,4480322.442,-3.689364194869995,40.471527099609375,node/3645183690,40.4715232,-3.6896064,"(40.4715232, -3.6896064000000002)",,20.49829143024964,"(40.4715232, -3.6896064000000002)"
TETUÁN,ALMENARA,MU-17,440765.604,4480329.451,-3.698765993118286,40.471534729003906,node/3590492182,40.4713619,-3.6984493,"(40.471361899999998, -3.6984493000000001)",,32.97839722167937,"(40.471361899999998, -3.6984493000000001)"
TETUÁN,VALDEACEDERAS,MU-16,440240.6074,4480334.457,-3.7049591541290283,40.47154235839844,node/5006925675,40.4714663,-3.7053591,"(40.471466300000003, -3.7053590999999999)",,34.88200921331039,"(40.471466300000003, -3.7053590999999999)"
TETUÁN,ALMENARA,BA-58,441557.5989,4480326.442,-3.6894235610961914,40.471561431884766,node/3645183690,40.4715232,-3.6896064,"(40.4715232, -3.6896064000000002)",,16.044330411787108,"(40.4715232, -3.6896064000000002)"
TETUÁN,VALDEACEDERAS,MU-16,440161.1979,4480337.318,-3.7058961391448975,40.471561431884766,node/5006925669,40.4714082,-3.7061289,"(40.471408199999999, -3.7061288999999999)",,26.045254164403506,"(40.471408199999999, -3.7061288999999999)"
TETUÁN,VALDEACEDERAS,MU-16,440146.608,4480339.458,-3.706068515777588,40.471580505371094,node/5006925669,40.4714082,-3.7061289,"(40.471408199999999, -3.7061288999999999)",,19.834251687362194,"(40.471408199999999, -3.7061288999999999)"
TETUÁN,VALDEACEDERAS,MU-16,440159.6179,4480341.708,-3.7059152126312256,40.47159957885742,node/5006925669,40.4714082,-3.7061289,"(40.471408199999999, -3.7061288999999999)",,27.928870569906202,"(40.471408199999999, -3.7061288999999999)"
TETUÁN,ALMENARA,BA-58,441527.5991,4480332.442,-3.6897780895233154,40.471614837646484,node/3645183690,40.4715232,-3.6896064,"(40.4715232, -3.6896064000000002)",,17.746142072216205,"(40.4715232, -3.6896064000000002)"
