CODIGO,ZONA VERDE / VIA PUBLICA,DISTRITO,DIRECCION,COMPLEMENTO DE DIRECCI”N,X_ETRS89,Y_ETRS89,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA DATOS,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
FUE_01-01_0000000017,ZV,CENTRO,PASEO DEL PRADO,PASEO DEL PRADO,441186.3865,4473797.868,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6931979656219482,40.412723541259766,node/3657652927,40.4127548,-3.6932535,"(40.412754800000002, -3.6932535)",,5.848648010848121,"(40.412754800000002, -3.6932535)"
FB_000018,ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA FORESTAL,FUENTE DE LA GLORIETA DE LOS CAÑOS,435488.4424,4473918.96,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7603628635406494,40.41339111328125,node/1052390666,40.4134234,-3.7605708,"(40.413423399999999, -3.7605708)",,17.97179054998971,"(40.413423399999999, -3.7605708)"
FB_000020,ZV,RETIRO,JARDINES DEL BUEN RETIRO,A. 15 · CAMPO GRANDE,442187.9,4473865.75,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.681400775909424,40.41340637207031,node/2527420077,40.4133699,-3.6814686,"(40.413369899999999, -3.6814686000000001)",,7.031874585959977,"(40.413369899999999, -3.6814686000000001)"
FB_000069,ZV,MORATALAZ,CUÑA VERDE DE O'DONELL Y FUENTE CARRANTONA, ,445686.2691,4473862.075,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.640169382095337,40.41360855102539,node/4199356210,40.4136093,-3.6401034,"(40.413609299999997, -3.6401034000000001)",,5.5883760222223655,"(40.413609299999997, -3.6401034000000001)"
FUE_01-01_0000000033,VP,CENTRO,CL SAN JUSTO Nº:1,PLAZA PUERTA CERRADA,439843.2957,4473930.022,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7090392112731934,40.413818359375,node/1020459753,40.4138099,-3.7090832,"(40.413809899999997, -3.7090831999999998)",,3.8422034291352634,"(40.413809899999997, -3.7090831999999998)"
FB_000011,ZV,RETIRO,JARDINES DEL BUEN RETIRO,A. 8 · BOSQUE DEL RECUERDO Y ENTORNO,441607.814,4473929.64,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6882433891296387,40.4139404296875,node/3117313482,40.4139852,-3.6883626,"(40.413985199999999, -3.6883626)",,11.256752154141433,"(40.413985199999999, -3.6883626)"
FUE_03-10_0000000040,ZV,LATINA,PZA. STA. CRISTINA - S. CRISPÍN,PLAZA SANTA CRISTINA Nº1,438297.8271,4473984.063,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7272589206695557,40.41419219970703,node/1474140979,40.4142047,-3.7271868,"(40.414204699999999, -3.7271868000000001)",,6.2638087233445106,"(40.414204699999999, -3.7271868000000001)"
FUE_02-03_0000000006,ZV,RETIRO,PARQUE DE ROMA,"PARQUE ROMA, JUNTO A LA ENTRADA DE LA CALLE PEZ VOLADOR CON JUAN ESPLANDIU",443645.6773,4474002.265,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.664231777191162,40.414737701416016,node/3778644386,40.4147733,-3.6642126,"(40.4147733, -3.6642125999999999)",,4.2796061004757915,"(40.4147733, -3.6642125999999999)"
FUE_01-01_0000000027,ZV,CENTRO,PARQUE DE ATENAS,PARQUE DE ATENAS,439005.2002,4474042.985,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7189276218414307,40.41477584838867,node/1464142400,40.4148034,-3.718939,"(40.414803399999997, -3.7189390000000002)",,3.2123768746358943,"(40.414803399999997, -3.7189390000000002)"
FUE_01-01_0000000021,ZV,CENTRO,PARQUE DE ATENAS,PARQUE DE ATENAS,438867.16,4474075.74,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.720557689666748,40.415061950683594,node/4331337787,40.4147711,-3.7201578,"(40.414771100000003, -3.7201578)",,46.83303420418964,"(40.414771100000003, -3.7201578)"
FB_900014,ZV,CENTRO,MADRID RÍO,Z.07. - ERMITA VIRGEN DEL PUERTO,438732.8,4474119.6,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7221455574035645,40.41544723510742,node/3175596848,40.4154794,-3.722172,"(40.415479400000002, -3.722172)",,4.220585473957555,"(40.415479400000002, -3.722172)"
FB_000023,ZV,RETIRO,JARDINES DEL BUEN RETIRO,A. 14 · ESTANQUE,441965.89,4474101.4,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6840386390686035,40.41551208496094,node/1591488129,40.4155784,-3.684145,"(40.415578400000001, -3.684145)",,11.641791367835195,"(40.415578400000001, -3.684145)"
FB_000023,ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA URBANA,FUENTE DE LA GLORIETA DE SIETE HERMANAS,436675.1912,4474168.151,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.746401309967041,40.41572952270508,node/1052390711,40.4157575,-3.7463645,"(40.415757499999998, -3.7463644999999999)",,4.40456775223153,"(40.415757499999998, -3.7463644999999999)"
FUE_01-01_0000000044,VP,CENTRO,"CIUDAD RODRIGO, JUNTO ACCESO PZA. MAYOR",CV TRAVESÍA DE BRINGAS,439879.02,4474144.04,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7086386680603027,40.415748596191406,node/5025000037,40.4157764,-3.7086889,"(40.415776399999999, -3.7086888999999998)",,5.259132465606518,"(40.415776399999999, -3.7086888999999998)"
FUE_05-19_0000000067,ZV,VICÁLVARO,CUÑA VERDE ZONA C CERCA DEL PARQUING,,448035.2759,4474131.755,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.61250638961792,40.41618728637695,node/3011267671,40.4161782,-3.6124421,"(40.416178199999997, -3.6124421)",,5.537229276151554,"(40.416178199999997, -3.6124421)"
FB_000022,ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA URBANA,FUENTE DE LA GLORIETA DE LA ENCINA DE TRILLO,436084.4495,4474241.149,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.753371000289917,40.41633987426758,node/1052390742,40.4163517,-3.753331,"(40.4163517, -3.7533310000000002)",,3.6337393457534475,"(40.4163517, -3.7533310000000002)"
FB_000027,ZV,RETIRO,JARDINES DEL BUEN RETIRO,A. 14 · ESTANQUE,442185.98,4474194.19,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.681452989578247,40.41636276245117,node/2496787805,40.4163908,-3.681438,"(40.416390800000002, -3.681438)",,3.366953271473358,"(40.416390800000002, -3.681438)"
FUE_02-03_0000000041,VP,RETIRO,ALCALDE SAINZ DE BARANDA Nº 65 (EN EL BULEVAR),,443184.3429,4474203.072,ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,DEFICIENCIA ESTRUCTURAL,3-nov.-17,-3.669687032699585,40.41651153564453,node/2496787801,40.4165255,-3.669605,"(40.416525499999999, -3.6696049999999998)",,7.118236365623169,"(40.416525499999999, -3.6696049999999998)"
FB_000031,ZV,RETIRO,JARDINES DEL BUEN RETIRO,A. 2 · HERRERO PALACIOS,442432.11,4474225.04,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6785550117492676,40.41666030883789,node/3395833336,40.4167336,-3.6784981,"(40.416733600000001, -3.6784981000000001)",,9.469960157258301,"(40.416733600000001, -3.6784981000000001)"
FUE_02-03_0000000010,ZV,RETIRO,JARDINES Pº JOHN LENNON,C/MARQUÉS DE LOZOYA Nº 6,443511.2571,4474224.198,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6658358573913574,40.416725158691406,node/3006321252,40.416696,-3.6656627,"(40.416696000000002, -3.6656626999999999)",,15.01770086851609,"(40.416696000000002, -3.6656626999999999)"
